Job_Title,Salary,Location,Salary_Frequency,Source,Scrape_Date
Welder,71120,US,Annual,FederalPay.com,2023-12-01_20-43-46
Property Disposal,103846,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Printing and Reproduction,74408,US,Annual,FederalPay.com,2023-12-01_20-43-46
Housing Managemer,77781,US,Annual,FederalPay.com,2023-12-01_20-43-46
Marine Machinery Mechanic,68961,US,Annual,FederalPay.com,2023-12-01_20-43-46
Sheet Metal Mechanic,76364,US,Annual,FederalPay.com,2023-12-01_20-43-46
,89231,US,Annual,FederalPay.com,2023-12-01_20-43-46
Equal Opportunity Assistant,58523,US,Annual,FederalPay.com,2023-12-01_20-43-46
Work Unit Supervisor,59753,US,Annual,FederalPay.com,2023-12-01_20-43-46
Horticulturalist,95872,US,Annual,FederalPay.com,2023-12-01_20-43-46
Instrument Mechanic,52018,US,Annual,FederalPay.com,2023-12-01_20-43-46
Transportation Industry Analyst,138450,US,Annual,FederalPay.com,2023-12-01_20-43-46
Information Technology Student Trainee,43566,US,Annual,FederalPay.com,2023-12-01_20-43-46
General Anthropologist,108960,US,Annual,FederalPay.com,2023-12-01_20-43-46
Plant Physiologist,128363,US,Annual,FederalPay.com,2023-12-01_20-43-46
General Mathematican/Statistician,155875,US,Annual,FederalPay.com,2023-12-01_20-43-46
Fabric Worker,70583,US,Annual,FederalPay.com,2023-12-01_20-43-46
Industrial Engineer,123211,US,Annual,FederalPay.com,2023-12-01_20-43-46
Safety Technician,57099,US,Annual,FederalPay.com,2023-12-01_20-43-46
Food Technologist,131390,US,Annual,FederalPay.com,2023-12-01_20-43-46
Pest Controller,61506,US,Annual,FederalPay.com,2023-12-01_20-43-46
Insects Production Worker,43585,US,Annual,FederalPay.com,2023-12-01_20-43-46
General Student Trainee,39346,US,Annual,FederalPay.com,2023-12-01_20-43-46
Unemployment Insurance Employee,110326,US,Annual,FederalPay.com,2023-12-01_20-43-46
Animal Scientist,119305,US,Annual,FederalPay.com,2023-12-01_20-43-46
Education Researcher,138042,US,Annual,FederalPay.com,2023-12-01_20-43-46
Mining Engineer,111096,US,Annual,FederalPay.com,2023-12-01_20-43-46
Survey Technician,57554,US,Annual,FederalPay.com,2023-12-01_20-43-46
,43497,US,Annual,FederalPay.com,2023-12-01_20-43-46
Employee Benefits Lawyer,137986,US,Annual,FederalPay.com,2023-12-01_20-43-46
Fingerprint Identifier,117506,US,Annual,FederalPay.com,2023-12-01_20-43-46
Legal Occupations Student Trainee,51050,US,Annual,FederalPay.com,2023-12-01_20-43-46
Document Analyst,133383,US,Annual,FederalPay.com,2023-12-01_20-43-46
Irrigation System Operator,48471,US,Annual,FederalPay.com,2023-12-01_20-43-46
Production Machinery Mechanic,70328,US,Annual,FederalPay.com,2023-12-01_20-43-46
Bookbinder,106273,US,Annual,FederalPay.com,2023-12-01_20-43-46
Education Services Personnel,72246,US,Annual,FederalPay.com,2023-12-01_20-43-46
Workforce Researcher and Analyst,120818,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Vessel Jobs,45935,US,Annual,FederalPay.com,2023-12-01_20-43-46
Telecommunications Processer,47872,US,Annual,FederalPay.com,2023-12-01_20-43-46
Water Treatment Plant Operator,73288,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Metal Work,68606,US,Annual,FederalPay.com,2023-12-01_20-43-46
Geodesist,133763,US,Annual,FederalPay.com,2023-12-01_20-43-46
Production Controller,87439,US,Annual,FederalPay.com,2023-12-01_20-43-46
Military Personnel,54076,US,Annual,FederalPay.com,2023-12-01_20-43-46
International Cooperation Personnel,134719,US,Annual,FederalPay.com,2023-12-01_20-43-46
Naval Architect,138945,US,Annual,FederalPay.com,2023-12-01_20-43-46
Sewing Machine Operator,43163,US,Annual,FederalPay.com,2023-12-01_20-43-46
Small Craft Operator,66640,US,Annual,FederalPay.com,2023-12-01_20-43-46
Industrial Specialist,133862,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Industrial Equipment Maintenance Worker,83795,US,Annual,FederalPay.com,2023-12-01_20-43-46
Electrical Equipment Repairer,68227,US,Annual,FederalPay.com,2023-12-01_20-43-46
Offset Press Operator,103399,US,Annual,FederalPay.com,2023-12-01_20-43-46
Prescription Eyeglass Maker,54655,US,Annual,FederalPay.com,2023-12-01_20-43-46
"Miscellaneous Laundry, Dry Cleaning, and Pressing Worker",56301,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Personal Services,37686,US,Annual,FederalPay.com,2023-12-01_20-43-46
Tree Trimmer and Remover,69645,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Industrial Equipment Operator,84511,US,Annual,FederalPay.com,2023-12-01_20-43-46
Zoologist,135158,US,Annual,FederalPay.com,2023-12-01_20-43-46
Industrial Property Manager,108261,US,Annual,FederalPay.com,2023-12-01_20-43-46
,50809,US,Annual,FederalPay.com,2023-12-01_20-43-46
Able Seaman,45754,US,Annual,FederalPay.com,2023-12-01_20-43-46
Wood Crafter,71028,US,Annual,FederalPay.com,2023-12-01_20-43-46
General Equipment Mechanic,62856,US,Annual,FederalPay.com,2023-12-01_20-43-46
Sewage Disposal Plant Operator,65049,US,Annual,FederalPay.com,2023-12-01_20-43-46
Crane Operator,71942,US,Annual,FederalPay.com,2023-12-01_20-43-46
Agricultural Warehouse Inspector,84186,US,Annual,FederalPay.com,2023-12-01_20-43-46
Rigging Personnel,70629,US,Annual,FederalPay.com,2023-12-01_20-43-46
Insurance Examiner,123878,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous General Services and Support Worker,55867,US,Annual,FederalPay.com,2023-12-01_20-43-46
Medical Equipment Repairman,62117,US,Annual,FederalPay.com,2023-12-01_20-43-46
Seaman/Fisherman,52454,US,Annual,FederalPay.com,2023-12-01_20-43-46
General Equipment Operator,64987,US,Annual,FederalPay.com,2023-12-01_20-43-46
Marine Survey Technician,123642,US,Annual,FederalPay.com,2023-12-01_20-43-46
Patent Classifying,165329,US,Annual,FederalPay.com,2023-12-01_20-43-46
Broadcasting Equipment Operator,107352,US,Annual,FederalPay.com,2023-12-01_20-43-46
Drill Rig Operator,65469,US,Annual,FederalPay.com,2023-12-01_20-43-46
Public Health Educator,116550,US,Annual,FederalPay.com,2023-12-01_20-43-46
Aircraft Electrician,75959,US,Annual,FederalPay.com,2023-12-01_20-43-46
,124561,US,Annual,FederalPay.com,2023-12-01_20-43-46
Toolmaker,77300,US,Annual,FederalPay.com,2023-12-01_20-43-46
Tools and Parts Attendant,51769,US,Annual,FederalPay.com,2023-12-01_20-43-46
Sign Painter,61507,US,Annual,FederalPay.com,2023-12-01_20-43-46
Powered Support Systems Mechanic,70764,US,Annual,FederalPay.com,2023-12-01_20-43-46
Laundry Operations Services Employee,77850,US,Annual,FederalPay.com,2023-12-01_20-43-46
Stationary-engine Operator,103481,US,Annual,FederalPay.com,2023-12-01_20-43-46
Packaging Machine Operator,65959,US,Annual,FederalPay.com,2023-12-01_20-43-46
Third Assistant Engineer,84906,US,Annual,FederalPay.com,2023-12-01_20-43-46
Shipfitter,68852,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous General Equipment Maintenance Worker,54062,US,Annual,FederalPay.com,2023-12-01_20-43-46
Illustrator,82690,US,Annual,FederalPay.com,2023-12-01_20-43-46
Heating & Boiler Plant Equipment Mechanic,70244,US,Annual,FederalPay.com,2023-12-01_20-43-46
Sanitarian,80845,US,Annual,FederalPay.com,2023-12-01_20-43-46
Air Safety Investigator,139373,US,Annual,FederalPay.com,2023-12-01_20-43-46
Veterinary Student Trainee,50434,US,Annual,FederalPay.com,2023-12-01_20-43-46
Laboratory Worker,43757,US,Annual,FederalPay.com,2023-12-01_20-43-46
Editorial Assistant,57738,US,Annual,FederalPay.com,2023-12-01_20-43-46
Environmental Protection Assistant,63721,US,Annual,FederalPay.com,2023-12-01_20-43-46
First Assistant Engineer,103959,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Woodwork,74467,US,Annual,FederalPay.com,2023-12-01_20-43-46
Second Assistant Engineer,95109,US,Annual,FederalPay.com,2023-12-01_20-43-46
Second Cook,42185,US,Annual,FederalPay.com,2023-12-01_20-43-46
Ordnance Equipment Mechanic,66639,US,Annual,FederalPay.com,2023-12-01_20-43-46
Laundry & Dry Cleaning Equipment Repairman,63579,US,Annual,FederalPay.com,2023-12-01_20-43-46
Chief Engineer,166337,US,Annual,FederalPay.com,2023-12-01_20-43-46
Freight Rate Employee,65244,US,Annual,FederalPay.com,2023-12-01_20-43-46
Composite/Plastic Fabricator,72433,US,Annual,FederalPay.com,2023-12-01_20-43-46
Packing,56317,US,Annual,FederalPay.com,2023-12-01_20-43-46
Lock and Dam Operator,58509,US,Annual,FederalPay.com,2023-12-01_20-43-46
Information and Arts Student Trainee,40332,US,Annual,FederalPay.com,2023-12-01_20-43-46
Investigation Student Trainee,41590,US,Annual,FederalPay.com,2023-12-01_20-43-46
Fuel Distribution System Operator,67180,US,Annual,FederalPay.com,2023-12-01_20-43-46
Unlicensed Junior Engineer,51597,US,Annual,FederalPay.com,2023-12-01_20-43-46
Platemakrt,100033,US,Annual,FederalPay.com,2023-12-01_20-43-46
,78326,US,Annual,FederalPay.com,2023-12-01_20-43-46
Chief Steward,61056,US,Annual,FederalPay.com,2023-12-01_20-43-46
Elevator Mechanic,83437,US,Annual,FederalPay.com,2023-12-01_20-43-46
Cryptanalyst,134997,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Machine Tool Work,82672,US,Annual,FederalPay.com,2023-12-01_20-43-46
,99543,US,Annual,FederalPay.com,2023-12-01_20-43-46
Ship Operator,87782,US,Annual,FederalPay.com,2023-12-01_20-43-46
Electrolytic Intaglio Platemaker,120514,US,Annual,FederalPay.com,2023-12-01_20-43-46
Forest Products Technology Personnel,119747,US,Annual,FederalPay.com,2023-12-01_20-43-46
Oiler,43919,US,Annual,FederalPay.com,2023-12-01_20-43-46
Boat Builder,63153,US,Annual,FederalPay.com,2023-12-01_20-43-46
Hazardous Waste Disposer,49400,US,Annual,FederalPay.com,2023-12-01_20-43-46
Preservation Servicing,57673,US,Annual,FederalPay.com,2023-12-01_20-43-46
Telecommunications Mechanic,63179,US,Annual,FederalPay.com,2023-12-01_20-43-46
Mobile Equipment Servicing,52072,US,Annual,FederalPay.com,2023-12-01_20-43-46
Small Engine Mechanic,57450,US,Annual,FederalPay.com,2023-12-01_20-43-46
Sandblaster,56531,US,Annual,FederalPay.com,2023-12-01_20-43-46
Fork Lift Operator,60972,US,Annual,FederalPay.com,2023-12-01_20-43-46
Heat Treater,68449,US,Annual,FederalPay.com,2023-12-01_20-43-46
Textile Technology,114014,US,Annual,FederalPay.com,2023-12-01_20-43-46
,57972,US,Annual,FederalPay.com,2023-12-01_20-43-46
Nuclear Medicine Technician,94800,US,Annual,FederalPay.com,2023-12-01_20-43-46
Sociologist,114643,US,Annual,FederalPay.com,2023-12-01_20-43-46
Materials Examiner and Identifier,53025,US,Annual,FederalPay.com,2023-12-01_20-43-46
Metallurgist,159574,US,Annual,FederalPay.com,2023-12-01_20-43-46
Insulator,70229,US,Annual,FederalPay.com,2023-12-01_20-43-46
Aircraft Engine Mechanic,80913,US,Annual,FederalPay.com,2023-12-01_20-43-46
Materials Expediter,55180,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Occupations,81873,US,Annual,FederalPay.com,2023-12-01_20-43-46
Clerk-Typist,44920,US,Annual,FederalPay.com,2023-12-01_20-43-46
Lock and Dam Repairman,90636,US,Annual,FederalPay.com,2023-12-01_20-43-46
Shipwright,70265,US,Annual,FederalPay.com,2023-12-01_20-43-46
Plastering,63919,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Food Preparer and Server,34531,US,Annual,FederalPay.com,2023-12-01_20-43-46
Model Maker,75197,US,Annual,FederalPay.com,2023-12-01_20-43-46
Electronic Digital Computer Mechanic,73544,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Warehousing and Stock Handler,65573,US,Annual,FederalPay.com,2023-12-01_20-43-46
Boatswain,68650,US,Annual,FederalPay.com,2023-12-01_20-43-46
Explosives Safety Personnel,117965,US,Annual,FederalPay.com,2023-12-01_20-43-46
Environmental Health Technician,55116,US,Annual,FederalPay.com,2023-12-01_20-43-46
,110194,US,Annual,FederalPay.com,2023-12-01_20-43-46
Packaging Worker,104327,US,Annual,FederalPay.com,2023-12-01_20-43-46
Buffing and Polishing Personnel,77114,US,Annual,FederalPay.com,2023-12-01_20-43-46
Patent Adviser,142600,US,Annual,FederalPay.com,2023-12-01_20-43-46
Wood Worker,58350,US,Annual,FederalPay.com,2023-12-01_20-43-46
Transportation Student Trainee,50743,US,Annual,FederalPay.com,2023-12-01_20-43-46
Patent Technician,86893,US,Annual,FederalPay.com,2023-12-01_20-43-46
Messenger,37641,US,Annual,FederalPay.com,2023-12-01_20-43-46
Aircrew Technician,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Education Student Trainee,44475,US,Annual,FederalPay.com,2023-12-01_20-43-46
,52977,US,Annual,FederalPay.com,2023-12-01_20-43-46
Non-destructive Tester,83604,US,Annual,FederalPay.com,2023-12-01_20-43-46
Battery Repairman,65348,US,Annual,FederalPay.com,2023-12-01_20-43-46
Chief Cook,52253,US,Annual,FederalPay.com,2023-12-01_20-43-46
Electromotive Equipment Mechanic,69366,US,Annual,FederalPay.com,2023-12-01_20-43-46
Upholsterer,72696,US,Annual,FederalPay.com,2023-12-01_20-43-46
,121527,US,Annual,FederalPay.com,2023-12-01_20-43-46
,134413,US,Annual,FederalPay.com,2023-12-01_20-43-46
Master,108324,US,Annual,FederalPay.com,2023-12-01_20-43-46
Research Laboratory Mechanic,73149,US,Annual,FederalPay.com,2023-12-01_20-43-46
Master-Mate (Fishing Vessel),116843,US,Annual,FederalPay.com,2023-12-01_20-43-46
Instrument Maker,78659,US,Annual,FederalPay.com,2023-12-01_20-43-46
Communications Clerk,53214,US,Annual,FederalPay.com,2023-12-01_20-43-46
,49451,US,Annual,FederalPay.com,2023-12-01_20-43-46
Industrial Engineer Technician,71253,US,Annual,FederalPay.com,2023-12-01_20-43-46
Tile Setter,74110,US,Annual,FederalPay.com,2023-12-01_20-43-46
Tool and Equipment Repairman,74270,US,Annual,FederalPay.com,2023-12-01_20-43-46
Aircraft Attendent,52669,US,Annual,FederalPay.com,2023-12-01_20-43-46
Deckhand,57629,US,Annual,FederalPay.com,2023-12-01_20-43-46
Railroad Maintenance Vehicle Operator,64718,US,Annual,FederalPay.com,2023-12-01_20-43-46
,83390,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Instrument Work,70228,US,Annual,FederalPay.com,2023-12-01_20-43-46
Library and Archives Student Trainee,35699,US,Annual,FederalPay.com,2023-12-01_20-43-46
Farmer,54241,US,Annual,FederalPay.com,2023-12-01_20-43-46
Geodetic Technician,102736,US,Annual,FederalPay.com,2023-12-01_20-43-46
Electronics Technician,80533,US,Annual,FederalPay.com,2023-12-01_20-43-46
Engine Utilityman,46644,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Plumbing and Pipefitting,100395,US,Annual,FederalPay.com,2023-12-01_20-43-46
Mobile Equipment Metal Mechanic,78263,US,Annual,FederalPay.com,2023-12-01_20-43-46
Language Clerk,40081,US,Annual,FederalPay.com,2023-12-01_20-43-46
Clothing Designer,126784,US,Annual,FederalPay.com,2023-12-01_20-43-46
First Officer,74625,US,Annual,FederalPay.com,2023-12-01_20-43-46
Music Specialist,101384,US,Annual,FederalPay.com,2023-12-01_20-43-46
Barber,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Supply Student Trainee,34893,US,Annual,FederalPay.com,2023-12-01_20-43-46
Correspondence Clerk,72907,US,Annual,FederalPay.com,2023-12-01_20-43-46
Second Radio Electronics Technician,141303,US,Annual,FederalPay.com,2023-12-01_20-43-46
Roofer,81246,US,Annual,FederalPay.com,2023-12-01_20-43-46
,61859,US,Annual,FederalPay.com,2023-12-01_20-43-46
Store Worker,46770,US,Annual,FederalPay.com,2023-12-01_20-43-46
,74422,US,Annual,FederalPay.com,2023-12-01_20-43-46
Electroplater,56119,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Engine Overhaul,49775,US,Annual,FederalPay.com,2023-12-01_20-43-46
Oilier and Greaser,55118,US,Annual,FederalPay.com,2023-12-01_20-43-46
Intelligence Aid and Clerk,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Community Planning Technician,46231,US,Annual,FederalPay.com,2023-12-01_20-43-46
Locomotive Engineer,54262,US,Annual,FederalPay.com,2023-12-01_20-43-46
Theater Specialist,124626,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Fabric and Leather Worker,60711,US,Annual,FederalPay.com,2023-12-01_20-43-46
Art Specialist,53686,US,Annual,FederalPay.com,2023-12-01_20-43-46
Coin/Currency Checker,97964,US,Annual,FederalPay.com,2023-12-01_20-43-46
Baker,45580,US,Annual,FederalPay.com,2023-12-01_20-43-46
