Job Title,Salary,Salary_Type,location,Source,Scrape_Date
Prescription Eyeglass Maker,"$54,655",Annually,US,FederalPay,2023-12-01
"Miscellaneous Laundry, Dry Cleaning, and Pressing Worker","$56,301",Annually,US,FederalPay,2023-12-01
Miscellaneous Personal Services,"$37,686",Annually,US,FederalPay,2023-12-01
Tree Trimmer and Remover,"$69,645",Annually,US,FederalPay,2023-12-01
Miscellaneous Industrial Equipment Operator,"$84,511",Annually,US,FederalPay,2023-12-01
Zoologist,"$135,158",Annually,US,FederalPay,2023-12-01
Industrial Property Manager,"$108,261",Annually,US,FederalPay,2023-12-01
,"$50,809",Annually,US,FederalPay,2023-12-01
Able Seaman,"$45,754",Annually,US,FederalPay,2023-12-01
Wood Crafter,"$71,028",Annually,US,FederalPay,2023-12-01
General Equipment Mechanic,"$62,856",Annually,US,FederalPay,2023-12-01
Sewage Disposal Plant Operator,"$65,049",Annually,US,FederalPay,2023-12-01
Crane Operator,"$71,942",Annually,US,FederalPay,2023-12-01
Agricultural Warehouse Inspector,"$84,186",Annually,US,FederalPay,2023-12-01
Rigging Personnel,"$70,629",Annually,US,FederalPay,2023-12-01
Insurance Examiner,"$123,878",Annually,US,FederalPay,2023-12-01
Miscellaneous General Services and Support Worker,"$55,867",Annually,US,FederalPay,2023-12-01
Medical Equipment Repairman,"$62,117",Annually,US,FederalPay,2023-12-01
Seaman/Fisherman,"$52,454",Annually,US,FederalPay,2023-12-01
General Equipment Operator,"$64,987",Annually,US,FederalPay,2023-12-01
Marine Survey Technician,"$123,642",Annually,US,FederalPay,2023-12-01
Patent Classifying,"$165,329",Annually,US,FederalPay,2023-12-01
Broadcasting Equipment Operator,"$107,352",Annually,US,FederalPay,2023-12-01
Drill Rig Operator,"$65,469",Annually,US,FederalPay,2023-12-01
Public Health Educator,"$116,550",Annually,US,FederalPay,2023-12-01
Aircraft Electrician,"$75,959",Annually,US,FederalPay,2023-12-01
,"$124,561",Annually,US,FederalPay,2023-12-01
Toolmaker,"$77,300",Annually,US,FederalPay,2023-12-01
Tools and Parts Attendant,"$51,769",Annually,US,FederalPay,2023-12-01
Sign Painter,"$61,507",Annually,US,FederalPay,2023-12-01
Powered Support Systems Mechanic,"$70,764",Annually,US,FederalPay,2023-12-01
Laundry Operations Services Employee,"$77,850",Annually,US,FederalPay,2023-12-01
Stationary-engine Operator,"$103,481",Annually,US,FederalPay,2023-12-01
Packaging Machine Operator,"$65,959",Annually,US,FederalPay,2023-12-01
Third Assistant Engineer,"$84,906",Annually,US,FederalPay,2023-12-01
Shipfitter,"$68,852",Annually,US,FederalPay,2023-12-01
Miscellaneous General Equipment Maintenance Worker,"$54,062",Annually,US,FederalPay,2023-12-01
Illustrator,"$82,690",Annually,US,FederalPay,2023-12-01
Heating & Boiler Plant Equipment Mechanic,"$70,244",Annually,US,FederalPay,2023-12-01
Sanitarian,"$80,845",Annually,US,FederalPay,2023-12-01
Air Safety Investigator,"$139,373",Annually,US,FederalPay,2023-12-01
Veterinary Student Trainee,"$50,434",Annually,US,FederalPay,2023-12-01
Laboratory Worker,"$43,757",Annually,US,FederalPay,2023-12-01
Editorial Assistant,"$57,738",Annually,US,FederalPay,2023-12-01
Environmental Protection Assistant,"$63,721",Annually,US,FederalPay,2023-12-01
First Assistant Engineer,"$103,959",Annually,US,FederalPay,2023-12-01
Miscellaneous Woodwork,"$74,467",Annually,US,FederalPay,2023-12-01
Second Assistant Engineer,"$95,109",Annually,US,FederalPay,2023-12-01
Second Cook,"$42,185",Annually,US,FederalPay,2023-12-01
Ordnance Equipment Mechanic,"$66,639",Annually,US,FederalPay,2023-12-01
Laundry & Dry Cleaning Equipment Repairman,"$63,579",Annually,US,FederalPay,2023-12-01
Chief Engineer,"$166,337",Annually,US,FederalPay,2023-12-01
Freight Rate Employee,"$65,244",Annually,US,FederalPay,2023-12-01
Composite/Plastic Fabricator,"$72,433",Annually,US,FederalPay,2023-12-01
Packing,"$56,317",Annually,US,FederalPay,2023-12-01
Lock and Dam Operator,"$58,509",Annually,US,FederalPay,2023-12-01
Information and Arts Student Trainee,"$40,332",Annually,US,FederalPay,2023-12-01
Investigation Student Trainee,"$41,590",Annually,US,FederalPay,2023-12-01
Fuel Distribution System Operator,"$67,180",Annually,US,FederalPay,2023-12-01
Unlicensed Junior Engineer,"$51,597",Annually,US,FederalPay,2023-12-01
Platemakrt,"$100,033",Annually,US,FederalPay,2023-12-01
,"$78,326",Annually,US,FederalPay,2023-12-01
Chief Steward,"$61,056",Annually,US,FederalPay,2023-12-01
Elevator Mechanic,"$83,437",Annually,US,FederalPay,2023-12-01
Cryptanalyst,"$134,997",Annually,US,FederalPay,2023-12-01
Miscellaneous Machine Tool Work,"$82,672",Annually,US,FederalPay,2023-12-01
,"$99,543",Annually,US,FederalPay,2023-12-01
Ship Operator,"$87,782",Annually,US,FederalPay,2023-12-01
Electrolytic Intaglio Platemaker,"$120,514",Annually,US,FederalPay,2023-12-01
Forest Products Technology Personnel,"$119,747",Annually,US,FederalPay,2023-12-01
Oiler,"$43,919",Annually,US,FederalPay,2023-12-01
Boat Builder,"$63,153",Annually,US,FederalPay,2023-12-01
Hazardous Waste Disposer,"$49,400",Annually,US,FederalPay,2023-12-01
Preservation Servicing,"$57,673",Annually,US,FederalPay,2023-12-01
Telecommunications Mechanic,"$63,179",Annually,US,FederalPay,2023-12-01
Mobile Equipment Servicing,"$52,072",Annually,US,FederalPay,2023-12-01
Small Engine Mechanic,"$57,450",Annually,US,FederalPay,2023-12-01
Sandblaster,"$56,531",Annually,US,FederalPay,2023-12-01
Fork Lift Operator,"$60,972",Annually,US,FederalPay,2023-12-01
Heat Treater,"$68,449",Annually,US,FederalPay,2023-12-01
Textile Technology,"$114,014",Annually,US,FederalPay,2023-12-01
,"$57,972",Annually,US,FederalPay,2023-12-01
Nuclear Medicine Technician,"$94,800",Annually,US,FederalPay,2023-12-01
Sociologist,"$114,643",Annually,US,FederalPay,2023-12-01
Materials Examiner and Identifier,"$53,025",Annually,US,FederalPay,2023-12-01
Metallurgist,"$159,574",Annually,US,FederalPay,2023-12-01
Insulator,"$70,229",Annually,US,FederalPay,2023-12-01
Aircraft Engine Mechanic,"$80,913",Annually,US,FederalPay,2023-12-01
Materials Expediter,"$55,180",Annually,US,FederalPay,2023-12-01
Miscellaneous Occupations,"$81,873",Annually,US,FederalPay,2023-12-01
Clerk-Typist,"$44,920",Annually,US,FederalPay,2023-12-01
Lock and Dam Repairman,"$90,636",Annually,US,FederalPay,2023-12-01
Shipwright,"$70,265",Annually,US,FederalPay,2023-12-01
Plastering,"$63,919",Annually,US,FederalPay,2023-12-01
Miscellaneous Food Preparer and Server,"$34,531",Annually,US,FederalPay,2023-12-01
Model Maker,"$75,197",Annually,US,FederalPay,2023-12-01
Electronic Digital Computer Mechanic,"$73,544",Annually,US,FederalPay,2023-12-01
Miscellaneous Warehousing and Stock Handler,"$65,573",Annually,US,FederalPay,2023-12-01
Boatswain,"$68,650",Annually,US,FederalPay,2023-12-01
Explosives Safety Personnel,"$117,965",Annually,US,FederalPay,2023-12-01
Environmental Health Technician,"$55,116",Annually,US,FederalPay,2023-12-01
,"$110,194",Annually,US,FederalPay,2023-12-01
Packaging Worker,"$104,327",Annually,US,FederalPay,2023-12-01
Buffing and Polishing Personnel,"$77,114",Annually,US,FederalPay,2023-12-01
Patent Adviser,"$142,600",Annually,US,FederalPay,2023-12-01
Wood Worker,"$58,350",Annually,US,FederalPay,2023-12-01
Transportation Student Trainee,"$50,743",Annually,US,FederalPay,2023-12-01
Patent Technician,"$86,893",Annually,US,FederalPay,2023-12-01
Messenger,"$37,641",Annually,US,FederalPay,2023-12-01
Aircrew Technician,$0,Annually,US,FederalPay,2023-12-01
Education Student Trainee,"$44,475",Annually,US,FederalPay,2023-12-01
,"$52,977",Annually,US,FederalPay,2023-12-01
Non-destructive Tester,"$83,604",Annually,US,FederalPay,2023-12-01
Battery Repairman,"$65,348",Annually,US,FederalPay,2023-12-01
Chief Cook,"$52,253",Annually,US,FederalPay,2023-12-01
Electromotive Equipment Mechanic,"$69,366",Annually,US,FederalPay,2023-12-01
Upholsterer,"$72,696",Annually,US,FederalPay,2023-12-01
,"$121,527",Annually,US,FederalPay,2023-12-01
,"$134,413",Annually,US,FederalPay,2023-12-01
Master,"$108,324",Annually,US,FederalPay,2023-12-01
Research Laboratory Mechanic,"$73,149",Annually,US,FederalPay,2023-12-01
Master-Mate (Fishing Vessel),"$116,843",Annually,US,FederalPay,2023-12-01
Instrument Maker,"$78,659",Annually,US,FederalPay,2023-12-01
Communications Clerk,"$53,214",Annually,US,FederalPay,2023-12-01
,"$49,451",Annually,US,FederalPay,2023-12-01
Industrial Engineer Technician,"$71,253",Annually,US,FederalPay,2023-12-01
Tile Setter,"$74,110",Annually,US,FederalPay,2023-12-01
Tool and Equipment Repairman,"$74,270",Annually,US,FederalPay,2023-12-01
Aircraft Attendent,"$52,669",Annually,US,FederalPay,2023-12-01
Deckhand,"$57,629",Annually,US,FederalPay,2023-12-01
Railroad Maintenance Vehicle Operator,"$64,718",Annually,US,FederalPay,2023-12-01
,"$83,390",Annually,US,FederalPay,2023-12-01
Miscellaneous Instrument Work,"$70,228",Annually,US,FederalPay,2023-12-01
Library and Archives Student Trainee,"$35,699",Annually,US,FederalPay,2023-12-01
Farmer,"$54,241",Annually,US,FederalPay,2023-12-01
Geodetic Technician,"$102,736",Annually,US,FederalPay,2023-12-01
Electronics Technician,"$80,533",Annually,US,FederalPay,2023-12-01
Engine Utilityman,"$46,644",Annually,US,FederalPay,2023-12-01
Miscellaneous Plumbing and Pipefitting,"$100,395",Annually,US,FederalPay,2023-12-01
Mobile Equipment Metal Mechanic,"$78,263",Annually,US,FederalPay,2023-12-01
Language Clerk,"$40,081",Annually,US,FederalPay,2023-12-01
Clothing Designer,"$126,784",Annually,US,FederalPay,2023-12-01
First Officer,"$74,625",Annually,US,FederalPay,2023-12-01
Music Specialist,"$101,384",Annually,US,FederalPay,2023-12-01
Barber,$0,Annually,US,FederalPay,2023-12-01
Supply Student Trainee,"$34,893",Annually,US,FederalPay,2023-12-01
Correspondence Clerk,"$72,907",Annually,US,FederalPay,2023-12-01
Second Radio Electronics Technician,"$141,303",Annually,US,FederalPay,2023-12-01
Roofer,"$81,246",Annually,US,FederalPay,2023-12-01
,"$61,859",Annually,US,FederalPay,2023-12-01
Store Worker,"$46,770",Annually,US,FederalPay,2023-12-01
,"$74,422",Annually,US,FederalPay,2023-12-01
Electroplater,"$56,119",Annually,US,FederalPay,2023-12-01
Miscellaneous Engine Overhaul,"$49,775",Annually,US,FederalPay,2023-12-01
Oilier and Greaser,"$55,118",Annually,US,FederalPay,2023-12-01
Intelligence Aid and Clerk,$0,Annually,US,FederalPay,2023-12-01
Community Planning Technician,"$46,231",Annually,US,FederalPay,2023-12-01
Locomotive Engineer,"$54,262",Annually,US,FederalPay,2023-12-01
Theater Specialist,"$124,626",Annually,US,FederalPay,2023-12-01
Miscellaneous Fabric and Leather Worker,"$60,711",Annually,US,FederalPay,2023-12-01
Art Specialist,"$53,686",Annually,US,FederalPay,2023-12-01
Coin/Currency Checker,"$97,964",Annually,US,FederalPay,2023-12-01
Baker,"$45,580",Annually,US,FederalPay,2023-12-01
