Job_title,Hourly_salary,Annual_salary,Salary_Frequency,Location,Source,Scrape_Date
"Social Sciences Teachers, Postsecondary, All Other",(4),"89,350",Hourly | Annual,US,BLS.gov,2023-12-01
"Health Teachers, Postsecondary",(4),"116,780",Hourly | Annual,US,BLS.gov,2023-12-01
"Health Specialties Teachers, Postsecondary",(4),"127,640",Hourly | Annual,US,BLS.gov,2023-12-01
"Nursing Instructors and Teachers, Postsecondary",(4),"84,180",Hourly | Annual,US,BLS.gov,2023-12-01
"Education and Library Science Teachers, Postsecondary",(4),"78,770",Hourly | Annual,US,BLS.gov,2023-12-01
"Education Teachers, Postsecondary",(4),"78,540",Hourly | Annual,US,BLS.gov,2023-12-01
"Library Science Teachers, Postsecondary",(4),"81,720",Hourly | Annual,US,BLS.gov,2023-12-01
"Law, Criminal Justice, and Social Work Teachers, Postsecondary",(4),"97,900",Hourly | Annual,US,BLS.gov,2023-12-01
"Criminal Justice and Law Enforcement Teachers, Postsecondary",(4),"78,980",Hourly | Annual,US,BLS.gov,2023-12-01
"Law Teachers, Postsecondary",(4),"133,950",Hourly | Annual,US,BLS.gov,2023-12-01
"Social Work Teachers, Postsecondary",(4),"75,330",Hourly | Annual,US,BLS.gov,2023-12-01
"Arts, Communications, History, and Humanities Teachers, Postsecondary",(4),"88,260",Hourly | Annual,US,BLS.gov,2023-12-01
"Art, Drama, and Music Teachers, Postsecondary",(4),"93,440",Hourly | Annual,US,BLS.gov,2023-12-01
"Communications Teachers, Postsecondary",(4),"84,700",Hourly | Annual,US,BLS.gov,2023-12-01
"English Language and Literature Teachers, Postsecondary",(4),"83,130",Hourly | Annual,US,BLS.gov,2023-12-01
"Foreign Language and Literature Teachers, Postsecondary",(4),"83,300",Hourly | Annual,US,BLS.gov,2023-12-01
"History Teachers, Postsecondary",(4),"88,640",Hourly | Annual,US,BLS.gov,2023-12-01
"Philosophy and Religion Teachers, Postsecondary",(4),"87,100",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Postsecondary Teachers,(4),"83,240",Hourly | Annual,US,BLS.gov,2023-12-01
"Family and Consumer Sciences Teachers, Postsecondary",(4),"89,840",Hourly | Annual,US,BLS.gov,2023-12-01
"Recreation and Fitness Studies Teachers, Postsecondary",(4),"82,020",Hourly | Annual,US,BLS.gov,2023-12-01
"Career/Technical Education Teachers, Postsecondary",31.49,"65,500",Hourly | Annual,US,BLS.gov,2023-12-01
"Postsecondary Teachers, All Other",(4),"91,760",Hourly | Annual,US,BLS.gov,2023-12-01
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",(4),"65,580",Hourly | Annual,US,BLS.gov,2023-12-01
Preschool and Kindergarten Teachers,21.42,"44,540",Hourly | Annual,US,BLS.gov,2023-12-01
"Preschool Teachers, Except Special Education",18.58,"38,640",Hourly | Annual,US,BLS.gov,2023-12-01
"Kindergarten Teachers, Except Special Education",(4),"65,120",Hourly | Annual,US,BLS.gov,2023-12-01
Elementary and Middle School Teachers,(4),"67,930",Hourly | Annual,US,BLS.gov,2023-12-01
"Elementary School Teachers, Except Special Education",(4),"68,000",Hourly | Annual,US,BLS.gov,2023-12-01
"Middle School Teachers, Except Special and Career/Technical Education",(4),"67,790",Hourly | Annual,US,BLS.gov,2023-12-01
"Career/Technical Education Teachers, Middle School",(4),"67,680",Hourly | Annual,US,BLS.gov,2023-12-01
Secondary School Teachers,(4),"69,330",Hourly | Annual,US,BLS.gov,2023-12-01
"Secondary School Teachers, Except Special and Career/Technical Education",(4),"69,480",Hourly | Annual,US,BLS.gov,2023-12-01
"Career/Technical Education Teachers, Secondary School",(4),"67,610",Hourly | Annual,US,BLS.gov,2023-12-01
Special Education Teachers,(4),"70,110",Hourly | Annual,US,BLS.gov,2023-12-01
"Special Education Teachers, Preschool",(4),"69,620",Hourly | Annual,US,BLS.gov,2023-12-01
"Special Education Teachers, Kindergarten and Elementary School",(4),"68,580",Hourly | Annual,US,BLS.gov,2023-12-01
"Special Education Teachers, Middle School",(4),"69,530",Hourly | Annual,US,BLS.gov,2023-12-01
"Special Education Teachers, Secondary School",(4),"71,290",Hourly | Annual,US,BLS.gov,2023-12-01
"Special Education Teachers, All Other",(4),"74,310",Hourly | Annual,US,BLS.gov,2023-12-01
Other Teachers and Instructors,23.41,"48,700",Hourly | Annual,US,BLS.gov,2023-12-01
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",30.35,"63,130",Hourly | Annual,US,BLS.gov,2023-12-01
Self-Enrichment Teachers,24.19,"50,320",Hourly | Annual,US,BLS.gov,2023-12-01
"Substitute Teachers, Short-Term",20.52,"42,680",Hourly | Annual,US,BLS.gov,2023-12-01
Tutors,21.55,"44,820",Hourly | Annual,US,BLS.gov,2023-12-01
"Teachers and Instructors, All Other",(4),"66,450",Hourly | Annual,US,BLS.gov,2023-12-01
"Librarians, Curators, and Archivists",27.28,"56,750",Hourly | Annual,US,BLS.gov,2023-12-01
"Archivists, Curators, and Museum Technicians",29.28,"60,900",Hourly | Annual,US,BLS.gov,2023-12-01
Archivists,30.76,"63,980",Hourly | Annual,US,BLS.gov,2023-12-01
Curators,32.45,"67,490",Hourly | Annual,US,BLS.gov,2023-12-01
Museum Technicians and Conservators,25.40,"52,820",Hourly | Annual,US,BLS.gov,2023-12-01
Librarians and Media Collections Specialists,31.14,"64,770",Hourly | Annual,US,BLS.gov,2023-12-01
Library Technicians,19.52,"40,590",Hourly | Annual,US,BLS.gov,2023-12-01
Other Educational Instruction and Library Occupations,(4),"40,410",Hourly | Annual,US,BLS.gov,2023-12-01
Farm and Home Management Educators,28.10,"58,450",Hourly | Annual,US,BLS.gov,2023-12-01
Instructional Coordinators,35.14,"73,080",Hourly | Annual,US,BLS.gov,2023-12-01
Teaching Assistants,(4),"34,530",Hourly | Annual,US,BLS.gov,2023-12-01
"Teaching Assistants, Postsecondary",(4),"41,900",Hourly | Annual,US,BLS.gov,2023-12-01
"Teaching Assistants, Except Postsecondary",(4),"33,740",Hourly | Annual,US,BLS.gov,2023-12-01
"Educational Instruction and Library Workers, All Other",25.12,"52,250",Hourly | Annual,US,BLS.gov,2023-12-01
"Arts, Design, Entertainment, Sports, and Media Occupations",36.78,"76,500",Hourly | Annual,US,BLS.gov,2023-12-01
Art and Design Workers,31.34,"65,180",Hourly | Annual,US,BLS.gov,2023-12-01
Artists and Related Workers,51.95,"108,050",Hourly | Annual,US,BLS.gov,2023-12-01
Art Directors,59.76,"124,310",Hourly | Annual,US,BLS.gov,2023-12-01
Craft Artists,23.65,"49,180",Hourly | Annual,US,BLS.gov,2023-12-01
"Fine Artists, Including Painters, Sculptors, and Illustrators",33.59,"69,870",Hourly | Annual,US,BLS.gov,2023-12-01
Special Effects Artists and Animators,53.43,"111,130",Hourly | Annual,US,BLS.gov,2023-12-01
"Artists and Related Workers, All Other",35.64,"74,130",Hourly | Annual,US,BLS.gov,2023-12-01
Designers,27.14,"56,450",Hourly | Annual,US,BLS.gov,2023-12-01
Commercial and Industrial Designers,39.30,"81,740",Hourly | Annual,US,BLS.gov,2023-12-01
Fashion Designers,41.23,"85,760",Hourly | Annual,US,BLS.gov,2023-12-01
Floral Designers,16.50,"34,310",Hourly | Annual,US,BLS.gov,2023-12-01
Graphic Designers,31.01,"64,500",Hourly | Annual,US,BLS.gov,2023-12-01
Interior Designers,32.43,"67,460",Hourly | Annual,US,BLS.gov,2023-12-01
Merchandise Displayers and Window Trimmers,18.33,"38,120",Hourly | Annual,US,BLS.gov,2023-12-01
Set and Exhibit Designers,32.93,"68,490",Hourly | Annual,US,BLS.gov,2023-12-01
"Designers, All Other",36.75,"76,430",Hourly | Annual,US,BLS.gov,2023-12-01
"Entertainers and Performers, Sports and Related Workers",40.88,"85,030",Hourly | Annual,US,BLS.gov,2023-12-01
"Actors, Producers, and Directors",48.74,"101,370",Hourly | Annual,US,BLS.gov,2023-12-01
Actors,36.06,(4),Hourly | Annual,US,BLS.gov,2023-12-01
Producers and Directors,53.20,"110,660",Hourly | Annual,US,BLS.gov,2023-12-01
"Athletes, Coaches, Umpires, and Related Workers",(4),"71,730",Hourly | Annual,US,BLS.gov,2023-12-01
Athletes and Sports Competitors,(4),"358,080",Hourly | Annual,US,BLS.gov,2023-12-01
Coaches and Scouts,(4),"57,450",Hourly | Annual,US,BLS.gov,2023-12-01
"Umpires, Referees, and Other Sports Officials",(4),"49,030",Hourly | Annual,US,BLS.gov,2023-12-01
Dancers and Choreographers,25.99,"54,050",Hourly | Annual,US,BLS.gov,2023-12-01
Dancers,24.62,(4),Hourly | Annual,US,BLS.gov,2023-12-01
Choreographers,28.24,"58,740",Hourly | Annual,US,BLS.gov,2023-12-01
"Musicians, Singers, and Related Workers",49.05,(4),Hourly | Annual,US,BLS.gov,2023-12-01
Music Directors and Composers,45.88,"95,430",Hourly | Annual,US,BLS.gov,2023-12-01
Musicians and Singers,50.21,(4),Hourly | Annual,US,BLS.gov,2023-12-01
"Miscellaneous Entertainers and Performers, Sports and Related Workers",28.30,(4),Hourly | Annual,US,BLS.gov,2023-12-01
"Disc Jockeys, Except Radio",25.48,(4),Hourly | Annual,US,BLS.gov,2023-12-01
"Entertainers and Performers, Sports and Related Workers, All Other",29.67,(4),Hourly | Annual,US,BLS.gov,2023-12-01
Media and Communication Workers,40.81,"84,890",Hourly | Annual,US,BLS.gov,2023-12-01
Broadcast Announcers and Radio Disc Jockeys,74.87,"155,730",Hourly | Annual,US,BLS.gov,2023-12-01
"News Analysts, Reporters, and Journalists",41.49,"86,290",Hourly | Annual,US,BLS.gov,2023-12-01
Public Relations Specialists,37.76,"78,540",Hourly | Annual,US,BLS.gov,2023-12-01
Writers and Editors,41.86,"87,070",Hourly | Annual,US,BLS.gov,2023-12-01
Editors,40.78,"84,820",Hourly | Annual,US,BLS.gov,2023-12-01
Technical Writers,41.71,"86,760",Hourly | Annual,US,BLS.gov,2023-12-01
Writers and Authors,44.02,"91,560",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Media and Communication Workers,36.94,"76,830",Hourly | Annual,US,BLS.gov,2023-12-01
Interpreters and Translators,29.68,"61,730",Hourly | Annual,US,BLS.gov,2023-12-01
Court Reporters and Simultaneous Captioners,33.79,"70,290",Hourly | Annual,US,BLS.gov,2023-12-01
"Media and Communication Workers, All Other",54.73,"113,840",Hourly | Annual,US,BLS.gov,2023-12-01
Media and Communication Equipment Workers,32.36,"67,310",Hourly | Annual,US,BLS.gov,2023-12-01
"Broadcast, Sound, and Lighting Technicians",33.27,"69,190",Hourly | Annual,US,BLS.gov,2023-12-01
Audio and Video Technicians,27.74,"57,710",Hourly | Annual,US,BLS.gov,2023-12-01
Broadcast Technicians,40.80,"84,860",Hourly | Annual,US,BLS.gov,2023-12-01
Sound Engineering Technicians,36.34,"75,590",Hourly | Annual,US,BLS.gov,2023-12-01
Lighting Technicians,35.59,"74,020",Hourly | Annual,US,BLS.gov,2023-12-01
Photographers,24.14,"50,210",Hourly | Annual,US,BLS.gov,2023-12-01
"Television, Video, and Film Camera Operators and Editors",36.72,"76,380",Hourly | Annual,US,BLS.gov,2023-12-01
"Camera Operators, Television, Video, and Film",33.63,"69,940",Hourly | Annual,US,BLS.gov,2023-12-01
Film and Video Editors,38.94,"80,990",Hourly | Annual,US,BLS.gov,2023-12-01
"Media and Communication Equipment Workers, All Other",35.81,"74,490",Hourly | Annual,US,BLS.gov,2023-12-01
Healthcare Practitioners and Technical Occupations,46.52,"96,770",Hourly | Annual,US,BLS.gov,2023-12-01
Healthcare Diagnosing or Treating Practitioners,57.21,"118,990",Hourly | Annual,US,BLS.gov,2023-12-01
Chiropractors,40.25,"83,720",Hourly | Annual,US,BLS.gov,2023-12-01
Dentists,86.97,"180,900",Hourly | Annual,US,BLS.gov,2023-12-01
"Dentists, General",82.83,"172,290",Hourly | Annual,US,BLS.gov,2023-12-01
Oral and Maxillofacial Surgeons,148.76,"309,410",Hourly | Annual,US,BLS.gov,2023-12-01
Orthodontists,104.00,"216,320",Hourly | Annual,US,BLS.gov,2023-12-01
"Dentists, All Other Specialists",112.23,"233,430",Hourly | Annual,US,BLS.gov,2023-12-01
Dietitians and Nutritionists,33.34,"69,350",Hourly | Annual,US,BLS.gov,2023-12-01
Optometrists,63.99,"133,100",Hourly | Annual,US,BLS.gov,2023-12-01
Pharmacists,62.22,"129,410",Hourly | Annual,US,BLS.gov,2023-12-01
Physician Assistants,60.23,"125,270",Hourly | Annual,US,BLS.gov,2023-12-01
Podiatrists,75.95,"157,970",Hourly | Annual,US,BLS.gov,2023-12-01
Therapists,42.69,"88,800",Hourly | Annual,US,BLS.gov,2023-12-01
Occupational Therapists,44.61,"92,800",Hourly | Annual,US,BLS.gov,2023-12-01
Physical Therapists,47.10,"97,960",Hourly | Annual,US,BLS.gov,2023-12-01
Radiation Therapists,47.28,"98,340",Hourly | Annual,US,BLS.gov,2023-12-01
Recreational Therapists,27.07,"56,310",Hourly | Annual,US,BLS.gov,2023-12-01
Respiratory Therapists,35.73,"74,310",Hourly | Annual,US,BLS.gov,2023-12-01
Speech-Language Pathologists,43.01,"89,460",Hourly | Annual,US,BLS.gov,2023-12-01
Exercise Physiologists,26.84,"55,820",Hourly | Annual,US,BLS.gov,2023-12-01
"Therapists, All Other",34.55,"71,860",Hourly | Annual,US,BLS.gov,2023-12-01
Veterinarians,62.07,"129,110",Hourly | Annual,US,BLS.gov,2023-12-01
Registered Nurses,42.80,"89,010",Hourly | Annual,US,BLS.gov,2023-12-01
Nurse Anesthetists,98.93,"205,770",Hourly | Annual,US,BLS.gov,2023-12-01
Nurse Midwives,58.87,"122,450",Hourly | Annual,US,BLS.gov,2023-12-01
Nurse Practitioners,59.94,"124,680",Hourly | Annual,US,BLS.gov,2023-12-01
Audiologists,43.02,"89,490",Hourly | Annual,US,BLS.gov,2023-12-01
Physicians,121.15,"251,990",Hourly | Annual,US,BLS.gov,2023-12-01
Anesthesiologists,145.66,"302,970",Hourly | Annual,US,BLS.gov,2023-12-01
Cardiologists,202.56,"421,330",Hourly | Annual,US,BLS.gov,2023-12-01
Dermatologists,157.53,"327,650",Hourly | Annual,US,BLS.gov,2023-12-01
Emergency Medicine Physicians,152.21,"316,600",Hourly | Annual,US,BLS.gov,2023-12-01
Family Medicine Physicians,107.91,"224,460",Hourly | Annual,US,BLS.gov,2023-12-01
General Internal Medicine Physicians,108.30,"225,270",Hourly | Annual,US,BLS.gov,2023-12-01
Neurologists,122.84,"255,510",Hourly | Annual,US,BLS.gov,2023-12-01
Obstetricians and Gynecologists,133.33,"277,320",Hourly | Annual,US,BLS.gov,2023-12-01
"Pediatricians, General",97.71,"203,240",Hourly | Annual,US,BLS.gov,2023-12-01
"Physicians, Pathologists",121.56,"252,850",Hourly | Annual,US,BLS.gov,2023-12-01
Psychiatrists,118.92,"247,350",Hourly | Annual,US,BLS.gov,2023-12-01
Radiologists,158.21,"329,080",Hourly | Annual,US,BLS.gov,2023-12-01
"Physicians, All Other",114.76,"238,700",Hourly | Annual,US,BLS.gov,2023-12-01
Surgeons,162.49,"337,980",Hourly | Annual,US,BLS.gov,2023-12-01
"Ophthalmologists, Except Pediatric",127.62,"265,450",Hourly | Annual,US,BLS.gov,2023-12-01
"Orthopedic Surgeons, Except Pediatric",178.56,"371,400",Hourly | Annual,US,BLS.gov,2023-12-01
Pediatric Surgeons,174.51,"362,970",Hourly | Annual,US,BLS.gov,2023-12-01
"Surgeons, All Other",167.25,"347,870",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Healthcare Diagnosing or Treating Practitioners,43.00,"89,440",Hourly | Annual,US,BLS.gov,2023-12-01
Acupuncturists,39.61,"82,390",Hourly | Annual,US,BLS.gov,2023-12-01
Dental Hygienists,40.80,"84,860",Hourly | Annual,US,BLS.gov,2023-12-01
"Healthcare Diagnosing or Treating Practitioners, All Other",59.60,"123,960",Hourly | Annual,US,BLS.gov,2023-12-01
Health Technologists and Technicians,25.59,"53,230",Hourly | Annual,US,BLS.gov,2023-12-01
Clinical Laboratory Technologists and Technicians,28.43,"59,130",Hourly | Annual,US,BLS.gov,2023-12-01
Diagnostic Related Technologists and Technicians,35.91,"74,700",Hourly | Annual,US,BLS.gov,2023-12-01
Cardiovascular Technologists and Technicians,31.49,"65,490",Hourly | Annual,US,BLS.gov,2023-12-01
Diagnostic Medical Sonographers,40.58,"84,410",Hourly | Annual,US,BLS.gov,2023-12-01
Nuclear Medicine Technologists,43.08,"89,610",Hourly | Annual,US,BLS.gov,2023-12-01
Radiologic Technologists and Technicians,33.77,"70,240",Hourly | Annual,US,BLS.gov,2023-12-01
Magnetic Resonance Imaging Technologists,39.20,"81,530",Hourly | Annual,US,BLS.gov,2023-12-01
Medical Dosimetrists,62.06,"129,080",Hourly | Annual,US,BLS.gov,2023-12-01
Emergency Medical Technicians and Paramedics,21.63,"45,000",Hourly | Annual,US,BLS.gov,2023-12-01
Emergency Medical Technicians,19.29,"40,120",Hourly | Annual,US,BLS.gov,2023-12-01
Paramedics,25.75,"53,560",Hourly | Annual,US,BLS.gov,2023-12-01
Health Practitioner Support Technologists and Technicians,20.48,"42,600",Hourly | Annual,US,BLS.gov,2023-12-01
Dietetic Technicians,17.49,"36,370",Hourly | Annual,US,BLS.gov,2023-12-01
Pharmacy Technicians,19.35,"40,260",Hourly | Annual,US,BLS.gov,2023-12-01
Psychiatric Technicians,19.60,"40,760",Hourly | Annual,US,BLS.gov,2023-12-01
Surgical Technologists,27.64,"57,500",Hourly | Annual,US,BLS.gov,2023-12-01
Veterinary Technologists and Technicians,19.60,"40,770",Hourly | Annual,US,BLS.gov,2023-12-01
Ophthalmic Medical Technicians,20.42,"42,480",Hourly | Annual,US,BLS.gov,2023-12-01
Licensed Practical and Licensed Vocational Nurses,26.86,"55,860",Hourly | Annual,US,BLS.gov,2023-12-01
Medical Records Specialists,24.56,"51,090",Hourly | Annual,US,BLS.gov,2023-12-01
"Opticians, Dispensing",21.58,"44,890",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Health Technologists and Technicians,25.39,"52,810",Hourly | Annual,US,BLS.gov,2023-12-01
Orthotists and Prosthetists,37.61,"78,240",Hourly | Annual,US,BLS.gov,2023-12-01
Hearing Aid Specialists,30.04,"62,480",Hourly | Annual,US,BLS.gov,2023-12-01
"Health Technologists and Technicians, All Other",24.42,"50,790",Hourly | Annual,US,BLS.gov,2023-12-01
Other Healthcare Practitioners and Technical Occupations,31.05,"64,580",Hourly | Annual,US,BLS.gov,2023-12-01
Health Information Technologists and Medical Registrars,31.38,"65,280",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Health Practitioners and Technical Workers,30.92,"64,310",Hourly | Annual,US,BLS.gov,2023-12-01
Athletic Trainers,(4),"57,810",Hourly | Annual,US,BLS.gov,2023-12-01
Genetic Counselors,44.77,"93,120",Hourly | Annual,US,BLS.gov,2023-12-01
Surgical Assistants,29.42,"61,200",Hourly | Annual,US,BLS.gov,2023-12-01
"Healthcare Practitioners and Technical Workers, All Other",32.78,"68,170",Hourly | Annual,US,BLS.gov,2023-12-01
Healthcare Support Occupations,17.10,"35,560",Hourly | Annual,US,BLS.gov,2023-12-01
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",15.60,"32,440",Hourly | Annual,US,BLS.gov,2023-12-01
Home Health and Personal Care Aides,14.87,"30,930",Hourly | Annual,US,BLS.gov,2023-12-01
"Nursing Assistants, Orderlies, and Psychiatric Aides",17.44,"36,270",Hourly | Annual,US,BLS.gov,2023-12-01
Nursing Assistants,17.41,"36,220",Hourly | Annual,US,BLS.gov,2023-12-01
Orderlies,17.34,"36,070",Hourly | Annual,US,BLS.gov,2023-12-01
Psychiatric Aides,18.57,"38,620",Hourly | Annual,US,BLS.gov,2023-12-01
Occupational Therapy and Physical Therapist Assistants and Aides,27.58,"57,370",Hourly | Annual,US,BLS.gov,2023-12-01
Occupational Therapy Assistants and Aides,30.99,"64,470",Hourly | Annual,US,BLS.gov,2023-12-01
Occupational Therapy Assistants,31.86,"66,280",Hourly | Annual,US,BLS.gov,2023-12-01
Occupational Therapy Aides,20.71,"43,090",Hourly | Annual,US,BLS.gov,2023-12-01
Physical Therapist Assistants and Aides,26.43,"54,980",Hourly | Annual,US,BLS.gov,2023-12-01
Physical Therapist Assistants,31.01,"64,510",Hourly | Annual,US,BLS.gov,2023-12-01
Physical Therapist Aides,15.97,"33,210",Hourly | Annual,US,BLS.gov,2023-12-01
Other Healthcare Support Occupations,20.23,"42,070",Hourly | Annual,US,BLS.gov,2023-12-01
Massage Therapists,27.43,"57,060",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Healthcare Support Occupations,19.84,"41,280",Hourly | Annual,US,BLS.gov,2023-12-01
Dental Assistants,21.50,"44,710",Hourly | Annual,US,BLS.gov,2023-12-01
Medical Assistants,19.57,"40,700",Hourly | Annual,US,BLS.gov,2023-12-01
Medical Equipment Preparers,21.61,"44,940",Hourly | Annual,US,BLS.gov,2023-12-01
Medical Transcriptionists,17.83,"37,090",Hourly | Annual,US,BLS.gov,2023-12-01
Pharmacy Aides,17.24,"35,870",Hourly | Annual,US,BLS.gov,2023-12-01
Veterinary Assistants and Laboratory Animal Caretakers,16.58,"34,490",Hourly | Annual,US,BLS.gov,2023-12-01
Phlebotomists,19.51,"40,580",Hourly | Annual,US,BLS.gov,2023-12-01
"Healthcare Support Workers, All Other",20.91,"43,490",Hourly | Annual,US,BLS.gov,2023-12-01
Protective Service Occupations,25.97,"54,010",Hourly | Annual,US,BLS.gov,2023-12-01
Supervisors of Protective Service Workers,39.18,"81,500",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Law Enforcement Workers,43.61,"90,710",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Correctional Officers,33.74,"70,190",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Police and Detectives,47.79,"99,410",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Firefighting and Prevention Workers,40.78,"84,810",Hourly | Annual,US,BLS.gov,2023-12-01
"Miscellaneous First-Line Supervisors, Protective Service Workers",27.54,"57,280",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Security Workers,26.32,"54,750",Hourly | Annual,US,BLS.gov,2023-12-01
"First-Line Supervisors of Protective Service Workers, All Other",30.64,"63,730",Hourly | Annual,US,BLS.gov,2023-12-01
Firefighting and Prevention Workers,27.50,"57,200",Hourly | Annual,US,BLS.gov,2023-12-01
Firefighters,27.07,"56,310",Hourly | Annual,US,BLS.gov,2023-12-01
Fire Inspectors,35.66,"74,170",Hourly | Annual,US,BLS.gov,2023-12-01
Fire Inspectors and Investigators,36.98,"76,910",Hourly | Annual,US,BLS.gov,2023-12-01
Forest Fire Inspectors and Prevention Specialists,27.30,"56,780",Hourly | Annual,US,BLS.gov,2023-12-01
Law Enforcement Workers,32.49,"67,580",Hourly | Annual,US,BLS.gov,2023-12-01
"Bailiffs, Correctional Officers, and Jailers",26.33,"54,760",Hourly | Annual,US,BLS.gov,2023-12-01
Bailiffs,26.29,"54,680",Hourly | Annual,US,BLS.gov,2023-12-01
Correctional Officers and Jailers,26.33,"54,760",Hourly | Annual,US,BLS.gov,2023-12-01
Detectives and Criminal Investigators,44.04,"91,610",Hourly | Annual,US,BLS.gov,2023-12-01
Fish and Game Wardens,28.78,"59,860",Hourly | Annual,US,BLS.gov,2023-12-01
Parking Enforcement Workers,21.48,"44,670",Hourly | Annual,US,BLS.gov,2023-12-01
Police Officers,34.33,"71,410",Hourly | Annual,US,BLS.gov,2023-12-01
Police and Sheriff's Patrol Officers,34.32,"71,380",Hourly | Annual,US,BLS.gov,2023-12-01
Transit and Railroad Police,36.72,"76,380",Hourly | Annual,US,BLS.gov,2023-12-01
Other Protective Service Workers,17.89,"37,220",Hourly | Annual,US,BLS.gov,2023-12-01
Animal Control Workers,21.05,"43,780",Hourly | Annual,US,BLS.gov,2023-12-01
Private Detectives and Investigators,28.56,"59,400",Hourly | Annual,US,BLS.gov,2023-12-01
Security Guards and Gambling Surveillance Officers,17.65,"36,720",Hourly | Annual,US,BLS.gov,2023-12-01
Gambling Surveillance Officers and Gambling Investigators,18.89,"39,290",Hourly | Annual,US,BLS.gov,2023-12-01
Security Guards,17.64,"36,700",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Protective Service Workers,17.63,"36,670",Hourly | Annual,US,BLS.gov,2023-12-01
Crossing Guards and Flaggers,18.02,"37,490",Hourly | Annual,US,BLS.gov,2023-12-01
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",13.64,"28,370",Hourly | Annual,US,BLS.gov,2023-12-01
Transportation Security Screeners,23.33,"48,520",Hourly | Annual,US,BLS.gov,2023-12-01
School Bus Monitors,14.93,"31,040",Hourly | Annual,US,BLS.gov,2023-12-01
"Protective Service Workers, All Other",20.80,"43,270",Hourly | Annual,US,BLS.gov,2023-12-01
Food Preparation and Serving Related Occupations,15.45,"32,130",Hourly | Annual,US,BLS.gov,2023-12-01
Supervisors of Food Preparation and Serving Workers,20.83,"43,330",Hourly | Annual,US,BLS.gov,2023-12-01
Chefs and Head Cooks,28.95,"60,210",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Food Preparation and Serving Workers,19.72,"41,020",Hourly | Annual,US,BLS.gov,2023-12-01
Cooks and Food Preparation Workers,15.26,"31,730",Hourly | Annual,US,BLS.gov,2023-12-01
Cooks,15.42,"32,080",Hourly | Annual,US,BLS.gov,2023-12-01
"Cooks, Fast Food",13.43,"27,920",Hourly | Annual,US,BLS.gov,2023-12-01
"Cooks, Institution and Cafeteria",16.19,"33,670",Hourly | Annual,US,BLS.gov,2023-12-01
"Cooks, Private Household",21.88,"45,510",Hourly | Annual,US,BLS.gov,2023-12-01
"Cooks, Restaurant",16.32,"33,940",Hourly | Annual,US,BLS.gov,2023-12-01
"Cooks, Short Order",14.80,"30,770",Hourly | Annual,US,BLS.gov,2023-12-01
"Cooks, All Other",16.88,"35,120",Hourly | Annual,US,BLS.gov,2023-12-01
Food Preparation Workers,14.77,"30,720",Hourly | Annual,US,BLS.gov,2023-12-01
Food and Beverage Serving Workers,14.69,"30,540",Hourly | Annual,US,BLS.gov,2023-12-01
Bartenders,16.58,"34,490",Hourly | Annual,US,BLS.gov,2023-12-01
Fast Food and Counter Workers,13.53,"28,130",Hourly | Annual,US,BLS.gov,2023-12-01
Waiters and Waitresses,15.87,"33,020",Hourly | Annual,US,BLS.gov,2023-12-01
"Food Servers, Nonrestaurant",15.36,"31,940",Hourly | Annual,US,BLS.gov,2023-12-01
Other Food Preparation and Serving Related Workers,14.23,"29,600",Hourly | Annual,US,BLS.gov,2023-12-01
Dining Room and Cafeteria Attendants and Bartender Helpers,14.56,"30,290",Hourly | Annual,US,BLS.gov,2023-12-01
Dishwashers,14.21,"29,560",Hourly | Annual,US,BLS.gov,2023-12-01
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",13.64,"28,380",Hourly | Annual,US,BLS.gov,2023-12-01
"Food Preparation and Serving Related Workers, All Other",15.38,"31,990",Hourly | Annual,US,BLS.gov,2023-12-01
Building and Grounds Cleaning and Maintenance Occupations,17.26,"35,900",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,24.51,"50,980",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Housekeeping and Janitorial Workers,22.80,"47,430",Hourly | Annual,US,BLS.gov,2023-12-01
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",26.81,"55,770",Hourly | Annual,US,BLS.gov,2023-12-01
